Year,Annual
1985,71660
1986,68020
1987,64060
1988,61170
1989,59920
1990,65510
1991,64790
1992,65160
1993,67510
1994,72470
1995,76170
1996,74660
1997,77170
1998,82050
1999,83110
2000,80450
2001,80560
2002,77790
2003,78800
2004,78330
2005,75470
2006,80970
2007,86670
2008,83330
2009,76790
2010,81570
2011,77010
2012,73780
2013,86470
2014,76500
2015,83660
2016,87870
2017,91760
2018,87610
2019,85700
2020,98010
2021,95130
2022,93510
2023,96640
