Year,Annual
2023,192.647
2023,198.793
2023,197.601
2023,194.701
2023,191.078
2023,187.650
2023,186.879
2023,189.444
2023,190.570
2024,183.526
2024,185.660
2024,184.709
2024,182.026
2024,180.533
2024,177.588
2024,175.034
2024,174.762
2024,175.644
2024,177.776
2024,180.076
2024,181.446
2025,185.424
2025,187.057
